KODE,NAMA_BAHAN,KATEGORI,SUMBER,AIR_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,ABU_g,KALSIUM_mg,FOSFOR_mg,BESI_mg,NATRIUM_mg,KALIUM_mg,TEMBAGA_mg,SENG_mg,RETINOL_mcg,BKAROTEN_mcg,KARTOTAL_mcg,THIAMIN_mg,RIBOFLAVIN_mg,NIASIN_mg,VIT_C_mg,BDD_pct
AP067,Kue gelang,Serealia,KZGMI-2001,,448,,70.0,,,,,,,,,,,,,,,,,100,
AP068,Kue jahe,Serealia,KZGPI- 1990,,425,,84.6,,,,4.0,,,,,,,,,0.20,,,,100,
AP069,Kue kelapa,Serealia,KZGMI-2001,,591,,47.5,,,,1.6,,,,,,,,,,,,,100,
AP070,Kue koa,Serealia,KZGMI-2001,,340,,79.3,,,,,,,,,,,,,,,,,100,
AP071,Kue ku temu,Serealia,KZGMI-2001,,214,,49.6,,,,,,,,,,,,,,,,,100,
AP072,Kue lumpur,Serealia,KZGMS-1993,40.1,291,3.6,11.1,44.1,,,1.1,,,2.3,,,,,20,,,,,,
AP073,Kue pelita,Serealia,KZGMI-2001,71.0,141,5.3,5.5,17.6,,,0.6,,,,,,,,,,,,,,
AP074,Kue putu cangkir,Serealia,KZGPI- 1990,32.6,304,5.3,7.0,54.9,0.9,,0.2,,,4.0,,,,,0,,,,,,
AP075,Kue sus,Serealia,KZGMS-1993,56.6,221,7.5,10.2,24.8,,,0.9,,,2.5,,,,,26,,,,,,
AP076,Kue thipan,Serealia,KZGMI-2001,43.0,247,2.9,4.2,49.5,,,0.4,,,1.8,,,1.30,,,,,,,,
AP077,Laksa/Putu mayang,Serealia,KZGMI-2001,73.2,121,1.7,3.4,21.1,,,0.6,,,,,,,,,,,,,,
AP078,Lapis legit,Serealia,KZGPI- 1990,21.3,389,6.6,15.7,55.5,0.5,,0.9,,,1.9,,,,,41,,,,,0.09,
AP079,Lupis ketan,Serealia,KZGPI- 1990,61.0,164,1.8,2.1,34.5,0.7,,0.6,,,1.5,,,,,0,,,,,0.00,
AP080,Manan samin,Serealia,KZGMI-2001,27.1,379,3.4,18.1,50.6,,,0.8,,,,,,,,,,,,,,
AP081,Martabak india,Serealia,KZGMI-2001,65.8,153,4.5,4.2,24.3,,,1.2,,,2.4,,,0.40,,,,,,,,
AP082,Martabak mesir,Serealia,KZGMI-2001,40.2,278,5.1,8.6,45.0,,,1.1,,,3.4,,,0.20,,,,,,,,
AP083,Masekat,Serealia,KZGMI-2001,15.6,369,2.1,7.0,74.1,4.0,,0.8,,,0.8,,,0.40,,155,,,,,,
AP084,Mie aceh rebus,Serealia,KZGMI-2001,74.6,113,3.0,3.2,18.1,,,1.1,,,1.4,,,0.20,,0,,,,,0.00,
AP085,Mie ayam,Serealia,KZGMS-1993,78.6,102,6.2,3.9,10.5,,,0.8,,,1.8,,,,,39,,,,,,
AP086,Mie bakso,Serealia,KZGMS-1993,74.5,114,5.3,3.0,16.4,0.1,,0.8,,,1.9,,,,,17,,,,,,
AP087,Mie celon,Serealia,KZGMI-2001,75.9,102,3.0,2.1,17.8,,,1.2,,,1.4,,,0.10,,0,,,,,0.00,
AP088,Mie pangsit basah,Serealia,KZGMS-1993,79.2,105,5.9,4.9,9.4,,,0.7,,,2.0,,,,,25,,,,,,
AP089,Nasi gemuk,Serealia,KZGMI-2001,61.4,192,3.8,8.8,24.4,0.7,,1.6,,,1.0,,,0.20,,0,,,,,0.05,
AP090,Nasi gurih,Serealia,KZGMI-2001,60.5,190,4.7,7.5,26.0,0.7,,1.3,,,0.8,,,0.20,,0,,,,,0.06,
AP091,Nasi minyak,Serealia,KZGMI-2001,53.3,207,3.5,5.0,37.1,0.8,,1.1,,,1.5,,,0.20,,0,,,,,0.07,
AP092,Nasi rames,Serealia,KZGMS-1993,65.8,155,10.3,4.2,19.1,,,0.6,,,1.8,,,,,96,,,,,0.00,
AP093,Nopia spesial,Serealia,KZGPI- 1990,11.5,387,5.3,7.6,74.3,0.3,,1.3,,,4.2,,,,,,,,,,,
AP094,Onde-onde,Serealia,KZGMI-2001,27.7,336,4.0,9.8,57.9,,,0.6,,,,,,,,,,,,,,
AP095,Padamaran,Serealia,KZGMI-2001,67.6,171,3.9,8.9,18.8,,,0.8,,,,,,,,,,,,,,
AP096,Pastel,Serealia,KZGMS-1993,38.3,307,4.5,13.3,42.4,,,1.5,,,2.5,,,,,0,,,,,,
